time	V(in)	V(out)
Step Information: Index=3  (Run: 3/5)
0.000000000000000e+000	0.000000e+000	6.831449e-001
1.000000000000566e-007	3.300000e-001	6.881574e-001
2.999999999999531e-007	9.900000e-001	7.072814e-001
5.999999999999062e-007	1.980000e+000	7.614754e-001
9.999999999999159e-007	3.300000e+000	8.658015e-001
1.039999999999895e-006	3.300000e+000	8.784747e-001
1.279999999999771e-006	3.300000e+000	9.588622e-001
1.599999999999822e-006	3.300000e+000	1.059024e+000
2.239999999999924e-006	3.300000e+000	1.240038e+000
3.239999999999840e-006	3.300000e+000	1.485207e+000
4.239999999999756e-006	3.300000e+000	1.690269e+000
5.239999999999672e-006	3.300000e+000	1.858173e+000
6.239999999999588e-006	3.300000e+000	1.995651e+000
7.239999999999504e-006	3.300000e+000	2.108217e+000
8.239999999999420e-006	3.300000e+000	2.200386e+000
9.239999999999336e-006	3.300000e+000	2.275853e+000
1.023999999999925e-005	3.300000e+000	2.337645e+000
1.123999999999917e-005	3.300000e+000	2.388239e+000
1.223999999999908e-005	3.300000e+000	2.429666e+000
1.323999999999900e-005	3.300000e+000	2.463586e+000
1.423999999999892e-005	3.300000e+000	2.491359e+000
1.523999999999883e-005	3.300000e+000	2.514100e+000
1.623999999999875e-005	3.300000e+000	2.532720e+000
1.723999999999866e-005	3.300000e+000	2.547966e+000
1.823999999999858e-005	3.300000e+000	2.560449e+000
1.923999999999849e-005	3.300000e+000	2.570670e+000
2.023999999999841e-005	3.300000e+000	2.579039e+000
2.123999999999833e-005	3.300000e+000	2.585891e+000
2.223999999999824e-005	3.300000e+000	2.591502e+000
2.323999999999816e-005	3.300000e+000	2.596097e+000
2.423999999999807e-005	3.300000e+000	2.599858e+000
2.523999999999799e-005	3.300000e+000	2.602938e+000
2.623999999999791e-005	3.300000e+000	2.605460e+000
2.723999999999782e-005	3.300000e+000	2.607525e+000
2.823999999999774e-005	3.300000e+000	2.609215e+000
2.923999999999765e-005	3.300000e+000	2.610600e+000
3.023999999999757e-005	3.300000e+000	2.611733e+000
3.123999999999749e-005	3.300000e+000	2.612661e+000
3.223999999999740e-005	3.300000e+000	2.613421e+000
3.323999999999732e-005	3.300000e+000	2.614043e+000
3.423999999999723e-005	3.300000e+000	2.614553e+000
3.523999999999715e-005	3.300000e+000	2.614970e+000
3.623999999999706e-005	3.300000e+000	2.615312e+000
3.723999999999698e-005	3.300000e+000	2.615592e+000
3.823999999999690e-005	3.300000e+000	2.615820e+000
3.923999999999681e-005	3.300000e+000	2.616008e+000
4.023999999999673e-005	3.300000e+000	2.616161e+000
4.123999999999664e-005	3.300000e+000	2.616287e+000
4.223999999999656e-005	3.300000e+000	2.616390e+000
4.323999999999648e-005	3.300000e+000	2.616474e+000
4.423999999999639e-005	3.300000e+000	2.616543e+000
4.523999999999631e-005	3.300000e+000	2.616600e+000
4.623999999999622e-005	3.300000e+000	2.616646e+000
4.723999999999614e-005	3.300000e+000	2.616684e+000
4.923999999999597e-005	3.300000e+000	2.616740e+000
5.123999999999580e-005	3.300000e+000	2.616778e+000
5.423999999999555e-005	3.300000e+000	2.616813e+000
5.823999999999521e-005	3.300000e+000	2.616836e+000
6.623999999999454e-005	3.300000e+000	2.616851e+000
1.010000000000000e-004	3.300000e+000	2.616855e+000
1.011000000000000e-004	2.970000e+000	2.611843e+000
1.012999999999999e-004	2.310000e+000	2.592719e+000
1.015999999999999e-004	1.320000e+000	2.538525e+000
1.020000000000001e-004	0.000000e+000	2.435344e+000
1.022800000000000e-004	0.000000e+000	2.341138e+000
1.026000000000000e-004	0.000000e+000	2.240976e+000
1.032400000000001e-004	0.000000e+000	2.059962e+000
1.042400000000000e-004	0.000000e+000	1.814793e+000
1.052399999999999e-004	0.000000e+000	1.609731e+000
1.062399999999999e-004	0.000000e+000	1.441827e+000
1.072399999999998e-004	0.000000e+000	1.304349e+000
1.082399999999997e-004	0.000000e+000	1.191783e+000
1.092399999999996e-004	0.000000e+000	1.099614e+000
1.102399999999995e-004	0.000000e+000	1.024147e+000
1.112399999999994e-004	0.000000e+000	9.623555e-001
1.122399999999994e-004	0.000000e+000	9.117607e-001
1.132399999999993e-004	0.000000e+000	8.703340e-001
1.142399999999992e-004	0.000000e+000	8.364141e-001
1.152399999999991e-004	0.000000e+000	8.086407e-001
1.162399999999990e-004	0.000000e+000	7.859001e-001
1.172399999999989e-004	0.000000e+000	7.672802e-001
1.182399999999988e-004	0.000000e+000	7.520343e-001
1.192399999999988e-004	0.000000e+000	7.395511e-001
1.202399999999987e-004	0.000000e+000	7.293299e-001
1.212399999999986e-004	0.000000e+000	7.209610e-001
1.222399999999985e-004	0.000000e+000	7.141085e-001
1.232399999999984e-004	0.000000e+000	7.084976e-001
1.242399999999983e-004	0.000000e+000	7.039036e-001
1.252399999999983e-004	0.000000e+000	7.001420e-001
1.262399999999982e-004	0.000000e+000	6.970620e-001
1.272399999999981e-004	0.000000e+000	6.945401e-001
1.282399999999980e-004	0.000000e+000	6.924753e-001
1.292399999999979e-004	0.000000e+000	6.907845e-001
1.302399999999978e-004	0.000000e+000	6.894002e-001
1.312399999999978e-004	0.000000e+000	6.882667e-001
1.322399999999977e-004	0.000000e+000	6.873386e-001
1.332399999999976e-004	0.000000e+000	6.865787e-001
1.342399999999975e-004	0.000000e+000	6.859565e-001
1.352399999999974e-004	0.000000e+000	6.854470e-001
1.362399999999973e-004	0.000000e+000	6.850299e-001
1.372399999999972e-004	0.000000e+000	6.846883e-001
1.382399999999972e-004	0.000000e+000	6.844087e-001
1.392399999999971e-004	0.000000e+000	6.841797e-001
1.402399999999970e-004	0.000000e+000	6.839921e-001
1.412399999999969e-004	0.000000e+000	6.838386e-001
1.422399999999968e-004	0.000000e+000	6.837130e-001
1.432399999999967e-004	0.000000e+000	6.836100e-001
1.442399999999967e-004	0.000000e+000	6.835257e-001
1.452399999999966e-004	0.000000e+000	6.834567e-001
1.462399999999965e-004	0.000000e+000	6.834003e-001
1.472399999999964e-004	0.000000e+000	6.833540e-001
1.482399999999963e-004	0.000000e+000	6.833161e-001
1.502399999999962e-004	0.000000e+000	6.832597e-001
1.522399999999960e-004	0.000000e+000	6.832219e-001
1.552399999999957e-004	0.000000e+000	6.831872e-001
1.592399999999954e-004	0.000000e+000	6.831639e-001
1.672399999999947e-004	0.000000e+000	6.831488e-001
2.000000000000001e-004	0.000000e+000	6.831449e-001
2.001000000000002e-004	3.300000e-001	6.881574e-001
2.003000000000000e-004	9.900000e-001	7.072814e-001
2.006000000000000e-004	1.980000e+000	7.614754e-001
2.010000000000000e-004	3.300000e+000	8.646559e-001
2.012799999999999e-004	3.300000e+000	9.588622e-001
2.015999999999999e-004	3.300000e+000	1.059024e+000
2.022400000000000e-004	3.300000e+000	1.240038e+000
2.032399999999999e-004	3.300000e+000	1.485207e+000
2.042399999999999e-004	3.300000e+000	1.690269e+000
2.052399999999998e-004	3.300000e+000	1.858173e+000
2.062399999999997e-004	3.300000e+000	1.995651e+000
2.072399999999996e-004	3.300000e+000	2.108217e+000
2.082399999999995e-004	3.300000e+000	2.200386e+000
2.092399999999994e-004	3.300000e+000	2.275853e+000
2.102399999999993e-004	3.300000e+000	2.337645e+000
2.112399999999993e-004	3.300000e+000	2.388239e+000
2.122399999999992e-004	3.300000e+000	2.429666e+000
2.132399999999991e-004	3.300000e+000	2.463586e+000
2.142399999999990e-004	3.300000e+000	2.491359e+000
2.152399999999989e-004	3.300000e+000	2.514100e+000
2.162399999999988e-004	3.300000e+000	2.532720e+000
2.172399999999988e-004	3.300000e+000	2.547966e+000
2.182399999999987e-004	3.300000e+000	2.560449e+000
2.192399999999986e-004	3.300000e+000	2.570670e+000
2.202399999999985e-004	3.300000e+000	2.579039e+000
2.212399999999984e-004	3.300000e+000	2.585891e+000
2.222399999999983e-004	3.300000e+000	2.591502e+000
2.232399999999983e-004	3.300000e+000	2.596097e+000
2.242399999999982e-004	3.300000e+000	2.599858e+000
2.252399999999981e-004	3.300000e+000	2.602938e+000
2.262399999999980e-004	3.300000e+000	2.605460e+000
2.272399999999979e-004	3.300000e+000	2.607525e+000
2.282399999999978e-004	3.300000e+000	2.609215e+000
2.292399999999977e-004	3.300000e+000	2.610600e+000
2.302399999999977e-004	3.300000e+000	2.611733e+000
2.312399999999976e-004	3.300000e+000	2.612661e+000
2.322399999999975e-004	3.300000e+000	2.613421e+000
2.332399999999974e-004	3.300000e+000	2.614043e+000
2.342399999999973e-004	3.300000e+000	2.614553e+000
2.352399999999972e-004	3.300000e+000	2.614970e+000
2.362399999999972e-004	3.300000e+000	2.615312e+000
2.372399999999971e-004	3.300000e+000	2.615592e+000
2.382399999999970e-004	3.300000e+000	2.615820e+000
2.392399999999969e-004	3.300000e+000	2.616008e+000
2.402399999999968e-004	3.300000e+000	2.616161e+000
2.412399999999967e-004	3.300000e+000	2.616287e+000
2.422399999999967e-004	3.300000e+000	2.616390e+000
2.432399999999966e-004	3.300000e+000	2.616474e+000
2.442399999999965e-004	3.300000e+000	2.616543e+000
2.452399999999964e-004	3.300000e+000	2.616600e+000
2.462399999999963e-004	3.300000e+000	2.616646e+000
2.472399999999962e-004	3.300000e+000	2.616684e+000
2.492399999999961e-004	3.300000e+000	2.616740e+000
2.512399999999959e-004	3.300000e+000	2.616778e+000
2.542399999999956e-004	3.300000e+000	2.616813e+000
2.582399999999953e-004	3.300000e+000	2.616836e+000
2.662399999999946e-004	3.300000e+000	2.616851e+000
3.010000000000001e-004	3.300000e+000	2.616855e+000
3.011000000000001e-004	2.970000e+000	2.611843e+000
3.013000000000000e-004	2.310000e+000	2.592719e+000
3.016000000000000e-004	1.320000e+000	2.538525e+000
3.020000000000002e-004	0.000000e+000	2.435344e+000
3.022800000000000e-004	0.000000e+000	2.341138e+000
3.026000000000001e-004	0.000000e+000	2.240976e+000
3.032400000000002e-004	0.000000e+000	2.059962e+000
3.042400000000001e-004	0.000000e+000	1.814793e+000
3.052400000000000e-004	0.000000e+000	1.609731e+000
3.062399999999999e-004	0.000000e+000	1.441827e+000
3.072399999999999e-004	0.000000e+000	1.304349e+000
3.082399999999998e-004	0.000000e+000	1.191783e+000
3.092399999999997e-004	0.000000e+000	1.099614e+000
3.102399999999996e-004	0.000000e+000	1.024147e+000
3.112399999999995e-004	0.000000e+000	9.623555e-001
3.122399999999994e-004	0.000000e+000	9.117607e-001
3.132399999999994e-004	0.000000e+000	8.703340e-001
3.142399999999993e-004	0.000000e+000	8.364141e-001
3.152399999999992e-004	0.000000e+000	8.086407e-001
3.162399999999991e-004	0.000000e+000	7.859001e-001
3.172399999999990e-004	0.000000e+000	7.672802e-001
3.182399999999989e-004	0.000000e+000	7.520343e-001
3.192399999999989e-004	0.000000e+000	7.395511e-001
3.202399999999988e-004	0.000000e+000	7.293299e-001
3.212399999999987e-004	0.000000e+000	7.209610e-001
3.222399999999986e-004	0.000000e+000	7.141085e-001
3.232399999999985e-004	0.000000e+000	7.084976e-001
3.242399999999984e-004	0.000000e+000	7.039036e-001
3.252399999999983e-004	0.000000e+000	7.001420e-001
3.262399999999983e-004	0.000000e+000	6.970620e-001
3.272399999999982e-004	0.000000e+000	6.945401e-001
3.282399999999981e-004	0.000000e+000	6.924753e-001
3.292399999999980e-004	0.000000e+000	6.907845e-001
3.302399999999979e-004	0.000000e+000	6.894002e-001
3.312399999999978e-004	0.000000e+000	6.882667e-001
3.322399999999978e-004	0.000000e+000	6.873386e-001
3.332399999999977e-004	0.000000e+000	6.865787e-001
3.342399999999976e-004	0.000000e+000	6.859565e-001
3.352399999999975e-004	0.000000e+000	6.854470e-001
3.362399999999974e-004	0.000000e+000	6.850299e-001
3.372399999999973e-004	0.000000e+000	6.846883e-001
3.382399999999973e-004	0.000000e+000	6.844087e-001
3.392399999999972e-004	0.000000e+000	6.841797e-001
3.402399999999971e-004	0.000000e+000	6.839921e-001
3.412399999999970e-004	0.000000e+000	6.838386e-001
3.422399999999969e-004	0.000000e+000	6.837130e-001
3.432399999999968e-004	0.000000e+000	6.836100e-001
3.442399999999967e-004	0.000000e+000	6.835257e-001
3.452399999999967e-004	0.000000e+000	6.834567e-001
3.462399999999966e-004	0.000000e+000	6.834003e-001
3.472399999999965e-004	0.000000e+000	6.833540e-001
3.482399999999964e-004	0.000000e+000	6.833161e-001
3.502399999999962e-004	0.000000e+000	6.832597e-001
3.522399999999961e-004	0.000000e+000	6.832219e-001
3.552399999999958e-004	0.000000e+000	6.831872e-001
3.592399999999955e-004	0.000000e+000	6.831639e-001
3.672399999999948e-004	0.000000e+000	6.831488e-001
4.000000000000002e-004	7.155734e-013	6.831449e-001
4.001000000000002e-004	3.300000e-001	6.881574e-001
4.003000000000001e-004	9.900000e-001	7.072814e-001
4.006000000000001e-004	1.980000e+000	7.614754e-001
4.009999999999999e-004	3.300000e+000	8.646559e-001
4.012799999999997e-004	3.300000e+000	9.588622e-001
4.015999999999996e-004	3.300000e+000	1.059024e+000
4.022399999999992e-004	3.300000e+000	1.240038e+000
4.032399999999992e-004	3.300000e+000	1.485207e+000
4.042399999999991e-004	3.300000e+000	1.690269e+000
4.052399999999990e-004	3.300000e+000	1.858173e+000
4.062399999999989e-004	3.300000e+000	1.995651e+000
4.072399999999988e-004	3.300000e+000	2.108217e+000
4.082399999999987e-004	3.300000e+000	2.200386e+000
4.092399999999987e-004	3.300000e+000	2.275853e+000
4.102399999999986e-004	3.300000e+000	2.337645e+000
4.112399999999985e-004	3.300000e+000	2.388239e+000
4.122399999999984e-004	3.300000e+000	2.429666e+000
4.132399999999983e-004	3.300000e+000	2.463586e+000
4.142399999999982e-004	3.300000e+000	2.491359e+000
4.152399999999982e-004	3.300000e+000	2.514100e+000
4.162399999999981e-004	3.300000e+000	2.532720e+000
4.172399999999980e-004	3.300000e+000	2.547966e+000
4.182399999999979e-004	3.300000e+000	2.560449e+000
4.192399999999978e-004	3.300000e+000	2.570670e+000
4.202399999999977e-004	3.300000e+000	2.579039e+000
4.212399999999976e-004	3.300000e+000	2.585891e+000
4.222399999999976e-004	3.300000e+000	2.591502e+000
4.232399999999975e-004	3.300000e+000	2.596097e+000
4.242399999999974e-004	3.300000e+000	2.599858e+000
4.252399999999973e-004	3.300000e+000	2.602938e+000
4.262399999999972e-004	3.300000e+000	2.605460e+000
4.272399999999971e-004	3.300000e+000	2.607525e+000
4.282399999999971e-004	3.300000e+000	2.609215e+000
4.292399999999970e-004	3.300000e+000	2.610600e+000
4.302399999999969e-004	3.300000e+000	2.611733e+000
4.312399999999968e-004	3.300000e+000	2.612661e+000
4.322399999999967e-004	3.300000e+000	2.613421e+000
4.332399999999966e-004	3.300000e+000	2.614043e+000
4.342399999999966e-004	3.300000e+000	2.614553e+000
4.352399999999965e-004	3.300000e+000	2.614970e+000
4.362399999999964e-004	3.300000e+000	2.615312e+000
4.372399999999963e-004	3.300000e+000	2.615592e+000
4.382399999999962e-004	3.300000e+000	2.615820e+000
4.392399999999961e-004	3.300000e+000	2.616008e+000
4.402399999999960e-004	3.300000e+000	2.616161e+000
4.412399999999960e-004	3.300000e+000	2.616287e+000
4.422399999999959e-004	3.300000e+000	2.616390e+000
4.432399999999958e-004	3.300000e+000	2.616474e+000
4.442399999999957e-004	3.300000e+000	2.616543e+000
4.452399999999956e-004	3.300000e+000	2.616600e+000
4.462399999999955e-004	3.300000e+000	2.616646e+000
4.472399999999955e-004	3.300000e+000	2.616684e+000
4.492399999999953e-004	3.300000e+000	2.616740e+000
4.512399999999951e-004	3.300000e+000	2.616778e+000
4.542399999999949e-004	3.300000e+000	2.616813e+000
4.582399999999945e-004	3.300000e+000	2.616836e+000
4.662399999999939e-004	3.300000e+000	2.616851e+000
5.009999999999999e-004	3.300000e+000	2.616855e+000
5.011000000000000e-004	2.970000e+000	2.611843e+000
5.012999999999999e-004	2.310000e+000	2.592719e+000
5.015999999999998e-004	1.320000e+000	2.538525e+000
5.020000000000001e-004	0.000000e+000	2.435344e+000
5.022799999999999e-004	0.000000e+000	2.341138e+000
5.026000000000000e-004	0.000000e+000	2.240976e+000
5.032400000000001e-004	0.000000e+000	2.059962e+000
5.042400000000000e-004	0.000000e+000	1.814793e+000
5.052399999999999e-004	0.000000e+000	1.609731e+000
5.062399999999998e-004	0.000000e+000	1.441827e+000
5.072399999999997e-004	0.000000e+000	1.304349e+000
5.082399999999997e-004	0.000000e+000	1.191783e+000
5.092399999999996e-004	0.000000e+000	1.099614e+000
5.102399999999995e-004	0.000000e+000	1.024147e+000
5.112399999999994e-004	0.000000e+000	9.623555e-001
5.122399999999993e-004	0.000000e+000	9.117607e-001
5.132399999999992e-004	0.000000e+000	8.703340e-001
5.142399999999991e-004	0.000000e+000	8.364141e-001
5.152399999999991e-004	0.000000e+000	8.086407e-001
5.162399999999990e-004	0.000000e+000	7.859001e-001
5.172399999999989e-004	0.000000e+000	7.672802e-001
5.182399999999988e-004	0.000000e+000	7.520343e-001
5.192399999999987e-004	0.000000e+000	7.395511e-001
5.202399999999986e-004	0.000000e+000	7.293299e-001
5.212399999999986e-004	0.000000e+000	7.209610e-001
5.222399999999985e-004	0.000000e+000	7.141085e-001
5.232399999999984e-004	0.000000e+000	7.084976e-001
5.242399999999983e-004	0.000000e+000	7.039036e-001
5.252399999999982e-004	0.000000e+000	7.001420e-001
5.262399999999981e-004	0.000000e+000	6.970620e-001
5.272399999999981e-004	0.000000e+000	6.945401e-001
5.282399999999980e-004	0.000000e+000	6.924753e-001
5.292399999999979e-004	0.000000e+000	6.907845e-001
5.302399999999978e-004	0.000000e+000	6.894002e-001
5.312399999999977e-004	0.000000e+000	6.882667e-001
5.322399999999976e-004	0.000000e+000	6.873386e-001
5.332399999999975e-004	0.000000e+000	6.865787e-001
5.342399999999975e-004	0.000000e+000	6.859565e-001
5.352399999999974e-004	0.000000e+000	6.854470e-001
5.362399999999973e-004	0.000000e+000	6.850299e-001
5.372399999999972e-004	0.000000e+000	6.846883e-001
5.382399999999971e-004	0.000000e+000	6.844087e-001
5.392399999999970e-004	0.000000e+000	6.841797e-001
5.402399999999970e-004	0.000000e+000	6.839921e-001
5.412399999999969e-004	0.000000e+000	6.838386e-001
5.422399999999968e-004	0.000000e+000	6.837130e-001
5.432399999999967e-004	0.000000e+000	6.836100e-001
5.442399999999966e-004	0.000000e+000	6.835257e-001
5.452399999999965e-004	0.000000e+000	6.834567e-001
5.462399999999965e-004	0.000000e+000	6.834003e-001
5.472399999999964e-004	0.000000e+000	6.833540e-001
5.482399999999963e-004	0.000000e+000	6.833161e-001
5.502399999999961e-004	0.000000e+000	6.832597e-001
5.522399999999960e-004	0.000000e+000	6.832219e-001
5.552399999999957e-004	0.000000e+000	6.831872e-001
5.592399999999954e-004	0.000000e+000	6.831639e-001
5.672399999999947e-004	0.000000e+000	6.831488e-001
6.000000000000001e-004	0.000000e+000	6.831449e-001
6.001000000000001e-004	3.300000e-001	6.881574e-001
6.003000000000000e-004	9.900000e-001	7.072814e-001
6.006000000000000e-004	1.980000e+000	7.614754e-001
6.010000000000000e-004	3.300000e+000	8.646559e-001
6.012799999999998e-004	3.300000e+000	9.588622e-001
6.015999999999999e-004	3.300000e+000	1.059024e+000
6.022400000000000e-004	3.300000e+000	1.240038e+000
6.032399999999999e-004	3.300000e+000	1.485207e+000
6.042399999999998e-004	3.300000e+000	1.690269e+000
6.052399999999997e-004	3.300000e+000	1.858173e+000
6.062399999999996e-004	3.300000e+000	1.995651e+000
6.072399999999996e-004	3.300000e+000	2.108217e+000
6.082399999999995e-004	3.300000e+000	2.200386e+000
6.092399999999994e-004	3.300000e+000	2.275853e+000
6.102399999999993e-004	3.300000e+000	2.337645e+000
