Time (s),Channel 1 (V),Channel 2 (V)
-0.001023938311688312,-0.2002316380888379,-0.1537020967109277
-0.001023688311688312,-0.1995447943610002,-0.1537020967109275
-0.001023438311688312,-0.1988579506331634,-0.1533612276107885
-0.001023188311688312,-0.1985145287692446,-0.1530203585106492
-0.001022938311688312,-0.1988579506331631,-0.153020358510649
-0.001022688311688312,-0.1988579506331631,-0.1526794894105096
-0.001022438311688312,-0.1992013724970819,-0.1533612276107884
-0.001022188311688312,-0.1995447943610004,-0.1533612276107885
-0.001021938311688312,-0.199201372497082,-0.153702096710928
-0.001021688311688312,-0.1995447943610004,-0.1543838349112061
-0.001021438311688312,-0.1995447943610005,-0.1537020967109277
-0.001021188311688312,-0.1995447943610005,-0.1537020967109277
-0.001020938311688312,-0.1992013724970819,-0.1537020967109277
-0.001020688311688312,-0.1988579506331631,-0.1537020967109277
-0.001020438311688312,-0.199201372497082,-0.1533612276107887
-0.001020188311688312,-0.1995447943610004,-0.1540429658110667
-0.001019938311688312,-0.1988579506331634,-0.1533612276107887
-0.001019688311688312,-0.1992013724970819,-0.1537020967109277
-0.001019438311688312,-0.1998882162249192,-0.154042965811067
-0.001019188311688312,-0.2002316380888379,-0.154042965811067
-0.001018938311688312,-0.1995447943610007,-0.1543838349112066
-0.001018688311688312,-0.1998882162249189,-0.1547247040113454
-0.001018438311688312,-0.1992013724970822,-0.1540429658110673
-0.001018188311688312,-0.1988579506331633,-0.1547247040113454
-0.001017938311688312,-0.1992013724970819,-0.1543838349112064
-0.001017688311688312,-0.1992013724970819,-0.1547247040113457
-0.001017438311688312,-0.1992013724970819,-0.1547247040113457
-0.001017188311688312,-0.1995447943610007,-0.1543838349112066
-0.001016938311688312,-0.1998882162249192,-0.1547247040113456
-0.001016688311688312,-0.1998882162249192,-0.1543838349112066
-0.001016438311688312,-0.1995447943610005,-0.1547247040113457
-0.001016188311688312,-0.1992013724970819,-0.1547247040113457
-0.001015938311688312,-0.1992013724970819,-0.1547247040113457
-0.001015688311688312,-0.198857950633163,-0.1550655731114849
-0.001015438311688312,-0.1985145287692445,-0.1547247040113457
-0.001015188311688312,-0.1985145287692445,-0.1547247040113457
-0.001014938311688312,-0.1992013724970816,-0.1547247040113457
-0.001014688311688312,-0.1995447943610005,-0.1550655731114851
-0.001014438311688312,-0.1995447943610005,-0.1547247040113457
-0.001014188311688312,-0.1995447943610005,-0.1554064422116245
-0.001013938311688312,-0.1995447943610007,-0.1554064422116245
-0.001013688311688312,-0.199888216224919,-0.1554064422116245
-0.001013438311688312,-0.1995447943610007,-0.1554064422116245
-0.001013188311688312,-0.1988579506331631,-0.1554064422116245
-0.001012938311688312,-0.1995447943610005,-0.1557473113117638
-0.001012688311688312,-0.1995447943610005,-0.1557473113117638
-0.001012438311688312,-0.1998882162249192,-0.1557473113117638
-0.001012188311688312,-0.199201372497082,-0.156088180411903
-0.001011938311688312,-0.1995447943610004,-0.155747311311764
-0.001011688311688312,-0.199201372497082,-0.1554064422116246
-0.001011438311688312,-0.1998882162249192,-0.1557473113117638
-0.001011188311688312,-0.1995447943610005,-0.1560881804119031
-0.001010938311688312,-0.1998882162249192,-0.1560881804119031
-0.001010688311688312,-0.1995447943610005,-0.1560881804119031
-0.001010438311688312,-0.1995447943610002,-0.1560881804119034
-0.001010188311688312,-0.1988579506331634,-0.1567699186121816
-0.001009938311688312,-0.1992013724970819,-0.1564290495120425
-0.001009688311688312,-0.1995447943610005,-0.1571107877123212
-0.001009438311688312,-0.1995447943610005,-0.1564290495120425
-0.001009188311688312,-0.1995447943610005,-0.1571107877123212
-0.001008938311688312,-0.1988579506331631,-0.1564290495120423
-0.001008688311688312,-0.1988579506331631,-0.1560881804119033
-0.001008438311688312,-0.1995447943610002,-0.1560881804119031
-0.001008188311688312,-0.1995447943610005,-0.1560881804119031
-0.001007938311688312,-0.1995447943610005,-0.1564290495120425
-0.001007688311688312,-0.1995447943610005,-0.1567699186121819
-0.001007438311688312,-0.2002316380888378,-0.1567699186121817
-0.001007188311688312,-0.1998882162249194,-0.1564290495120427
-0.001006938311688312,-0.2002316380888378,-0.1567699186121817
-0.001006688311688312,-0.1998882162249192,-0.1564290495120425
-0.001006438311688312,-0.1998882162249192,-0.1567699186121819
-0.001006188311688312,-0.1995447943610005,-0.1567699186121819
-0.001005938311688312,-0.1995447943610005,-0.1567699186121819
-0.001005688311688312,-0.1992013724970823,-0.1567699186121819
-0.001005438311688312,-0.2002316380888375,-0.1567699186121819
-0.001005188311688312,-0.2002316380888379,-0.1571107877123211
-0.001004938311688312,-0.2002316380888379,-0.1571107877123212
-0.001004688311688312,-0.1998882162249192,-0.1571107877123212
-0.001004438311688312,-0.1992013724970819,-0.1574516568124606
-0.001004188311688312,-0.1992013724970819,-0.1574516568124608
-0.001003938311688312,-0.1992013724970816,-0.1577925259125997
-0.001003688311688312,-0.1985145287692448,-0.1571107877123215
-0.001003438311688312,-0.1985145287692445,-0.1567699186121819
-0.001003188311688312,-0.1985145287692445,-0.1567699186121819
-0.001002938311688312,-0.1981711069053257,-0.1571107877123212
-0.001002688311688312,-0.1988579506331631,-0.1564290495120425
-0.001002438311688312,-0.1992013724970819,-0.1567699186121819
-0.001002188311688312,-0.1992013724970819,-0.1567699186121819
-0.001001938311688312,-0.1988579506331633,-0.1574516568124603
-0.001001688311688312,-0.1995447943610005,-0.1574516568124606
-0.001001438311688312,-0.2002316380888379,-0.1571107877123212
-0.001001188311688312,-0.1998882162249192,-0.1574516568124606
-0.001000938311688312,-0.2005750599527564,-0.1577925259125997
-0.001000688311688312,-0.2002316380888378,-0.1571107877123215
-0.001000438311688312,-0.1998882162249194,-0.1577925259125997
-0.001000188311688312,-0.1998882162249192,-0.1581333950127393
-0.0009999383116883118,0.06454661899247488,-0.08995957498486859
-0.0009996883116883118,0.1995114115125215,0.03650286116683154
-0.0009994383116883117,0.201228520832115,0.07604367678299653
-0.0009991883116883117,0.2022587864238713,0.0893375716884338
-0.0009989383116883119,0.2029456301517081,0.0947914772906585
-0.0009986883116883118,0.2032890520156269,0.09785929919191376
-0.0009984383116883118,0.2036324738795458,0.09956364469261192
-0.0009981883116883118,0.2032890520156271,0.10058625199303
-0.0009979383116883117,0.202258786423871,0.1022905974937268
-0.0009976883116883117,0.202258786423871,0.1026314665938666
-0.0009974383116883117,0.202258786423871,0.1036540738942846
-0.0009971883116883119,0.202258786423871,0.1046766811947017
-0.0009969383116883118,0.202258786423871,0.1053584193949809
-0.0009966883116883118,0.2008850989681962,0.1056992884951203
-0.0009964383116883118,0.201228520832115,0.106381026695399
-0.0009961883116883117,0.201228520832115,0.1074036339958171
-0.0009959383116883117,0.2008850989681962,0.1074036339958172
-0.0009956883116883119,0.2008850989681962,0.1077445030959562
-0.0009954383116883118,0.1998548333764406,0.108767110396374
