time	V(n002)
Step Information: Index=1  (Run: 1/5)
0.000000000000000e+000	-8.412700e-001
6.130136301612382e-008	-8.219377e-001
1.839040890483715e-007	-7.512606e-001
4.291095411128668e-007	-5.273680e-001
5.838048052031301e-007	-3.412728e-001
7.461961418562656e-007	-1.148283e-001
8.107386556188354e-007	-1.957097e-002
8.796473662880337e-007	8.525310e-002
9.320417291675768e-007	1.667533e-001
9.999999999999159e-007	2.733304e-001
1.006795827083063e-006	2.838776e-001
1.020387481249574e-006	3.042808e-001
1.047570789582597e-006	3.424438e-001
1.101937406248425e-006	4.092689e-001
1.210670639580080e-006	5.145774e-001
1.400455900119231e-006	6.444395e-001
1.587552389892884e-006	7.241066e-001
1.835222524909901e-006	7.815815e-001
2.097304624335038e-006	8.121970e-001
2.465470992684847e-006	8.303469e-001
2.895713321109366e-006	8.379172e-001
3.542700314727691e-006	8.406559e-001
4.423992335285268e-006	8.412479e-001
5.423992335285184e-006	8.412719e-001
1.010000000000000e-004	8.412700e-001
1.010504752611116e-004	8.277376e-001
1.011514257833349e-004	7.771613e-001
1.013533268277816e-004	6.101779e-001
1.015227225923806e-004	4.188763e-001
1.016992819323293e-004	1.813637e-001
1.018038970190946e-004	2.782143e-002
1.020000000000001e-004	-2.730720e-001
1.020196102980906e-004	-3.020041e-001
1.020588308942717e-004	-3.555924e-001
1.021372720866338e-004	-4.455965e-001
1.022802747017481e-004	-5.692350e-001
1.024637216650768e-004	-6.757932e-001
1.026746105848206e-004	-7.485722e-001
1.029211565175018e-004	-7.940031e-001
1.032219454772903e-004	-8.203214e-001
1.036024712758983e-004	-8.337368e-001
1.041036101248844e-004	-8.393089e-001
1.048065068150806e-004	-8.409971e-001
1.058065068150805e-004	-8.412684e-001
2.000000000000001e-004	-8.412700e-001
2.000613013630145e-004	-8.219377e-001
2.001839040890435e-004	-7.512606e-001
2.004291095411015e-004	-5.273680e-001
2.005838048051943e-004	-3.412728e-001
2.007461961418464e-004	-1.148283e-001
2.008107386556157e-004	-1.957097e-002
2.008796473663085e-004	8.525310e-002
2.010000000000000e-004	2.733889e-001
2.010203874811827e-004	3.042808e-001
2.010475707894264e-004	3.424438e-001
2.011019374059135e-004	4.092689e-001
2.012106706388878e-004	5.145774e-001
2.014004558995360e-004	6.444395e-001
2.015875523890356e-004	7.241066e-001
2.018352225241287e-004	7.815815e-001
2.020973046231505e-004	8.121970e-001
2.024654709914665e-004	8.303469e-001
2.028957133191954e-004	8.379172e-001
2.035427003124466e-004	8.406559e-001
2.044239923311502e-004	8.412479e-001
2.054239923311501e-004	8.412719e-001
2.434239923311469e-004	8.412700e-001
3.010000000000001e-004	8.412700e-001
3.010504752611117e-004	8.277376e-001
3.011514257833350e-004	7.771613e-001
3.013533268277817e-004	6.101779e-001
3.015227225923805e-004	4.188763e-001
3.016992819323292e-004	1.813637e-001
3.018038970190949e-004	2.782143e-002
3.020000000000002e-004	-2.730720e-001
3.020196102980907e-004	-3.020041e-001
3.020588308942716e-004	-3.555924e-001
3.021372720866337e-004	-4.455965e-001
3.022802747017479e-004	-5.692350e-001
3.024637216650767e-004	-6.757932e-001
3.026746105848205e-004	-7.485722e-001
3.029211565175017e-004	-7.940031e-001
3.032219454772902e-004	-8.203214e-001
3.036024712758979e-004	-8.337368e-001
3.041036101248838e-004	-8.393089e-001
3.048065068150798e-004	-8.409971e-001
3.058065068150798e-004	-8.412684e-001
4.000000000000002e-004	-8.412700e-001
4.000613013630146e-004	-8.219377e-001
4.001839040890431e-004	-7.512606e-001
4.004291095411005e-004	-5.273680e-001
4.005838048051940e-004	-3.412728e-001
4.007461961418460e-004	-1.148283e-001
4.008107386556156e-004	-1.957097e-002
4.008796473663093e-004	8.525310e-002
4.009999999999999e-004	2.733889e-001
4.010203874811799e-004	3.042808e-001
4.010475707894202e-004	3.424438e-001
4.011019374059004e-004	4.092689e-001
4.012106706388608e-004	5.145774e-001
4.014004558995131e-004	6.444395e-001
4.015875523890021e-004	7.241066e-001
4.018352225240982e-004	7.815815e-001
4.020973046231042e-004	8.121970e-001
4.024654709914187e-004	8.303469e-001
4.028957133191205e-004	8.379172e-001
4.035427003123576e-004	8.406559e-001
4.044239923309892e-004	8.412479e-001
4.054239923309891e-004	8.412719e-001
5.009999999999999e-004	8.412700e-001
5.010504752611116e-004	8.277376e-001
5.011514257833348e-004	7.771613e-001
5.013533268277816e-004	6.101779e-001
5.015227225923804e-004	4.188763e-001
5.016992819323290e-004	1.813637e-001
