time	V(out)
Step Information: Index=2  (Run: 2/5)
0.000000000000000e+000	-1.522901e-001
1.000000000000566e-007	-1.514401e-001
2.999999999999531e-007	-1.482012e-001
5.999999999999062e-007	-1.390395e-001
9.999999999999159e-007	-1.216170e-001
1.279999999999771e-006	-1.057784e-001
1.599999999999822e-006	-8.903150e-002
2.239999999999924e-006	-5.899629e-002
3.239999999999840e-006	-1.875604e-002
4.239999999999756e-006	1.443848e-002
5.239999999999672e-006	4.119101e-002
6.239999999999588e-006	6.275175e-002
7.239999999999504e-006	8.012824e-002
8.239999999999420e-006	9.413251e-002
9.239999999999336e-006	1.054190e-001
1.023999999999925e-005	1.145152e-001
1.123999999999917e-005	1.218461e-001
1.223999999999908e-005	1.277543e-001
1.323999999999900e-005	1.325159e-001
1.423999999999892e-005	1.363534e-001
1.523999999999883e-005	1.394462e-001
1.623999999999875e-005	1.419388e-001
1.723999999999866e-005	1.439476e-001
1.823999999999858e-005	1.455666e-001
1.923999999999849e-005	1.468714e-001
2.023999999999841e-005	1.479230e-001
2.123999999999833e-005	1.487705e-001
2.223999999999824e-005	1.494536e-001
2.323999999999816e-005	1.500040e-001
2.423999999999807e-005	1.504477e-001
2.523999999999799e-005	1.508052e-001
2.623999999999791e-005	1.510934e-001
2.723999999999782e-005	1.513256e-001
2.823999999999774e-005	1.515128e-001
2.923999999999765e-005	1.516636e-001
3.023999999999757e-005	1.517852e-001
3.123999999999749e-005	1.518832e-001
3.223999999999740e-005	1.519622e-001
3.323999999999732e-005	1.520258e-001
3.423999999999723e-005	1.520771e-001
3.623999999999706e-005	1.521517e-001
3.823999999999690e-005	1.522002e-001
4.123999999999664e-005	1.522430e-001
4.523999999999631e-005	1.522702e-001
5.323999999999564e-005	1.522865e-001
1.010000000000000e-004	1.522901e-001
1.011000000000000e-004	1.514401e-001
1.012999999999999e-004	1.482012e-001
1.015999999999999e-004	1.390395e-001
1.020000000000001e-004	1.216170e-001
1.022800000000000e-004	1.057784e-001
1.026000000000000e-004	8.903150e-002
1.032400000000001e-004	5.899629e-002
1.042400000000000e-004	1.875604e-002
1.052399999999999e-004	-1.443848e-002
1.062399999999999e-004	-4.119101e-002
1.072399999999998e-004	-6.275175e-002
1.082399999999997e-004	-8.012824e-002
1.092399999999996e-004	-9.413251e-002
1.102399999999995e-004	-1.054190e-001
1.112399999999994e-004	-1.145152e-001
1.122399999999994e-004	-1.218461e-001
1.132399999999993e-004	-1.277543e-001
1.142399999999992e-004	-1.325159e-001
1.152399999999991e-004	-1.363534e-001
1.162399999999990e-004	-1.394462e-001
1.172399999999989e-004	-1.419388e-001
1.182399999999988e-004	-1.439476e-001
1.192399999999988e-004	-1.455666e-001
1.202399999999987e-004	-1.468714e-001
1.212399999999986e-004	-1.479230e-001
1.222399999999985e-004	-1.487705e-001
1.232399999999984e-004	-1.494536e-001
1.242399999999983e-004	-1.500040e-001
1.252399999999983e-004	-1.504477e-001
1.262399999999982e-004	-1.508052e-001
1.272399999999981e-004	-1.510934e-001
1.282399999999980e-004	-1.513256e-001
1.292399999999979e-004	-1.515128e-001
1.302399999999978e-004	-1.516636e-001
1.312399999999978e-004	-1.517852e-001
1.322399999999977e-004	-1.518832e-001
1.332399999999976e-004	-1.519622e-001
1.342399999999975e-004	-1.520258e-001
1.352399999999974e-004	-1.520771e-001
1.372399999999972e-004	-1.521517e-001
1.392399999999971e-004	-1.522002e-001
1.422399999999968e-004	-1.522430e-001
1.462399999999965e-004	-1.522702e-001
1.542399999999958e-004	-1.522865e-001
2.000000000000001e-004	-1.522901e-001
2.001000000000002e-004	-1.514401e-001
2.003000000000000e-004	-1.482012e-001
2.006000000000000e-004	-1.390395e-001
2.010000000000000e-004	-1.216170e-001
2.012799999999999e-004	-1.057784e-001
2.015999999999999e-004	-8.903150e-002
2.022400000000000e-004	-5.899629e-002
2.032399999999999e-004	-1.875604e-002
2.042399999999999e-004	1.443848e-002
2.052399999999998e-004	4.119101e-002
2.062399999999997e-004	6.275175e-002
2.072399999999996e-004	8.012824e-002
2.082399999999995e-004	9.413251e-002
2.092399999999994e-004	1.054190e-001
2.102399999999993e-004	1.145152e-001
2.112399999999993e-004	1.218461e-001
2.122399999999992e-004	1.277543e-001
2.132399999999991e-004	1.325159e-001
2.142399999999990e-004	1.363534e-001
2.152399999999989e-004	1.394462e-001
2.162399999999988e-004	1.419388e-001
2.172399999999988e-004	1.439476e-001
2.182399999999987e-004	1.455666e-001
2.192399999999986e-004	1.468714e-001
