time	V(out)	I(R1)
Step Information: Index=2  (Run: 2/5)
0.000000000000000e+000	-6.472328e-001	-4.055343e-005
1.000000000000566e-007	-6.436205e-001	-7.275897e-006
2.999999999999531e-007	-6.298552e-001	5.797103e-005
5.999999999999062e-007	-5.909179e-001	1.521836e-004
9.999999999999159e-007	-5.168723e-001	2.733745e-004
1.279999999999771e-006	-4.495583e-001	2.599117e-004
1.599999999999822e-006	-3.783839e-001	2.456768e-004
2.239999999999924e-006	-2.507342e-001	2.201468e-004
3.239999999999840e-006	-7.971317e-002	1.859426e-004
4.239999999999756e-006	6.136353e-002	1.577273e-004
5.239999999999672e-006	1.750618e-001	1.349876e-004
6.239999999999588e-006	2.666949e-001	1.166610e-004
7.239999999999504e-006	3.405450e-001	1.018910e-004
8.239999999999420e-006	4.000632e-001	8.998736e-005
9.239999999999336e-006	4.480308e-001	8.039384e-005
1.023999999999925e-005	4.866895e-001	7.266211e-005
1.123999999999917e-005	5.178457e-001	6.643085e-005
1.223999999999908e-005	5.429556e-001	6.140888e-005
1.323999999999900e-005	5.631924e-001	5.736151e-005
1.423999999999892e-005	5.795020e-001	5.409961e-005
1.523999999999883e-005	5.926464e-001	5.147074e-005
1.623999999999875e-005	6.032398e-001	4.935204e-005
1.723999999999866e-005	6.117774e-001	4.764452e-005
1.823999999999858e-005	6.186582e-001	4.626837e-005
1.923999999999849e-005	6.242036e-001	4.515928e-005
2.023999999999841e-005	6.286728e-001	4.426544e-005
2.123999999999833e-005	6.322747e-001	4.354506e-005
2.223999999999824e-005	6.351776e-001	4.296448e-005
2.323999999999816e-005	6.375171e-001	4.249657e-005
2.423999999999807e-005	6.394026e-001	4.211947e-005
2.523999999999799e-005	6.409222e-001	4.181555e-005
2.623999999999791e-005	6.421469e-001	4.157062e-005
2.723999999999782e-005	6.431339e-001	4.137322e-005
2.823999999999774e-005	6.439294e-001	4.121412e-005
2.923999999999765e-005	6.445705e-001	4.108591e-005
3.023999999999757e-005	6.450871e-001	4.098257e-005
3.123999999999749e-005	6.455036e-001	4.089929e-005
3.223999999999740e-005	6.458392e-001	4.083217e-005
3.323999999999732e-005	6.461096e-001	4.077808e-005
3.423999999999723e-005	6.463276e-001	4.073448e-005
3.523999999999715e-005	6.465033e-001	4.069935e-005
3.623999999999706e-005	6.466448e-001	4.067103e-005
3.723999999999698e-005	6.467590e-001	4.064821e-005
3.823999999999690e-005	6.468509e-001	4.062982e-005
3.923999999999681e-005	6.469250e-001	4.061499e-005
4.023999999999673e-005	6.469848e-001	4.060304e-005
4.123999999999664e-005	6.470329e-001	4.059342e-005
4.323999999999648e-005	6.471030e-001	4.057941e-005
4.523999999999631e-005	6.471485e-001	4.057030e-005
4.823999999999606e-005	6.471887e-001	4.056227e-005
5.323999999999564e-005	6.472178e-001	4.055644e-005
6.423999999999471e-005	6.472315e-001	4.055371e-005
1.010000000000000e-004	6.472328e-001	4.055343e-005
1.011000000000000e-004	6.436205e-001	7.275897e-006
1.012999999999999e-004	6.298552e-001	-5.797103e-005
1.015999999999999e-004	5.909179e-001	-1.521836e-004
1.020000000000001e-004	5.168723e-001	-2.733745e-004
1.022800000000000e-004	4.495583e-001	-2.599117e-004
1.026000000000000e-004	3.783839e-001	-2.456768e-004
1.032400000000001e-004	2.507342e-001	-2.201468e-004
1.042400000000000e-004	7.971317e-002	-1.859426e-004
1.052399999999999e-004	-6.136353e-002	-1.577273e-004
1.062399999999999e-004	-1.750618e-001	-1.349876e-004
1.072399999999998e-004	-2.666949e-001	-1.166610e-004
1.082399999999997e-004	-3.405450e-001	-1.018910e-004
1.092399999999996e-004	-4.000632e-001	-8.998736e-005
1.102399999999995e-004	-4.480308e-001	-8.039384e-005
1.112399999999994e-004	-4.866895e-001	-7.266211e-005
1.122399999999994e-004	-5.178457e-001	-6.643085e-005
1.132399999999993e-004	-5.429556e-001	-6.140888e-005
1.142399999999992e-004	-5.631924e-001	-5.736151e-005
1.152399999999991e-004	-5.795020e-001	-5.409961e-005
1.162399999999990e-004	-5.926464e-001	-5.147074e-005
1.172399999999989e-004	-6.032398e-001	-4.935204e-005
1.182399999999988e-004	-6.117774e-001	-4.764452e-005
1.192399999999988e-004	-6.186582e-001	-4.626837e-005
1.202399999999987e-004	-6.242036e-001	-4.515928e-005
1.212399999999986e-004	-6.286728e-001	-4.426544e-005
1.222399999999985e-004	-6.322747e-001	-4.354506e-005
1.232399999999984e-004	-6.351776e-001	-4.296448e-005
1.242399999999983e-004	-6.375171e-001	-4.249657e-005
1.252399999999983e-004	-6.394026e-001	-4.211947e-005
1.262399999999982e-004	-6.409222e-001	-4.181555e-005
1.272399999999981e-004	-6.421469e-001	-4.157062e-005
1.282399999999980e-004	-6.431339e-001	-4.137322e-005
1.292399999999979e-004	-6.439294e-001	-4.121412e-005
1.302399999999978e-004	-6.445705e-001	-4.108591e-005
1.312399999999978e-004	-6.450871e-001	-4.098257e-005
1.322399999999977e-004	-6.455036e-001	-4.089929e-005
1.332399999999976e-004	-6.458392e-001	-4.083217e-005
1.342399999999975e-004	-6.461096e-001	-4.077808e-005
1.352399999999974e-004	-6.463276e-001	-4.073448e-005
1.362399999999973e-004	-6.465033e-001	-4.069935e-005
1.372399999999972e-004	-6.466448e-001	-4.067103e-005
1.382399999999972e-004	-6.467590e-001	-4.064821e-005
1.392399999999971e-004	-6.468509e-001	-4.062982e-005
1.402399999999970e-004	-6.469250e-001	-4.061499e-005
1.412399999999969e-004	-6.469848e-001	-4.060304e-005
1.422399999999968e-004	-6.470329e-001	-4.059342e-005
1.442399999999967e-004	-6.471030e-001	-4.057941e-005
1.462399999999965e-004	-6.471485e-001	-4.057030e-005
1.492399999999962e-004	-6.471887e-001	-4.056227e-005
1.542399999999958e-004	-6.472178e-001	-4.055644e-005
1.652399999999949e-004	-6.472315e-001	-4.055371e-005
2.000000000000001e-004	-6.472328e-001	-4.055343e-005
2.001000000000002e-004	-6.436205e-001	-7.275897e-006
2.003000000000000e-004	-6.298552e-001	5.797103e-005
2.006000000000000e-004	-5.909179e-001	1.521836e-004
2.010000000000000e-004	-5.168723e-001	2.733745e-004
2.012799999999999e-004	-4.495583e-001	2.599117e-004
2.015999999999999e-004	-3.783839e-001	2.456768e-004
2.022400000000000e-004	-2.507342e-001	2.201468e-004
2.032399999999999e-004	-7.971317e-002	1.859426e-004
2.042399999999999e-004	6.136353e-002	1.577273e-004
2.052399999999998e-004	1.750618e-001	1.349876e-004
2.062399999999997e-004	2.666949e-001	1.166610e-004
2.072399999999996e-004	3.405450e-001	1.018910e-004
2.082399999999995e-004	4.000632e-001	8.998736e-005
2.092399999999994e-004	4.480308e-001	8.039384e-005
